id,relevant,correct,text,irrelevant
83,1000 years,10 to 30\xa0minutes,Question: how long did it take for the tohoku tsunami to arrive,Tom Hanks
83,Adele,3 Doors Down,Question: who sings i'm here without you baby,Beyonce Knowles
83,Las Vegas,Capernaum,Question: where did jesus heal peter's mother in law,Porky Pig
84,Mars,Enmore,Question: where is the enmore martyrs monument located in guyana,in December 2050
84,"Dwayne ""The Rock"" Johnson",John Forsythe,Question: who plays charlie in charlie's angels movie,The Backstreet Boys
84,It became a tropical paradise vacation destination for penguins,American control,Question: what happened to guam during the spanish american war,Will Smith
85,Barack Obama,Col. Joshua Lawrence Chamberlain,Question: who led the charge on little round top,Betty White
85,2005,Fueled by Ramen,Question: when did twenty one pilots signed to fueled by ramen,Cats
85,Mickey Mouse,Laura Hope Crews,Question: who played aunt pittypat in gone with the wind,2050
86,300,44,Question: how many presidents of the united states has there been,Barack Obama
86,Barack Obama,Brian Griese,Question: who did tom brady back up at michigan,Iron Man
86,2025,1862,Question: when did the first dollar bill come out,penguins
87,500,14,Question: how many chapters will rwby volume 5 have,Antarctica
87,volcanic eruption fault,continental transform fault,Question: what type of fault is the san andrea fault,Barack Obama
87,100,13,Question: how many seasons of the chicago code are there,the year 3000
88,The ship's mascot,Chief Officer/First mate,Question: who comes after the captain on a ship,2050
88,Aria Montgomery,Toby Cavanaugh,Question: who is the second a in pretty little liars tv show,Manchester United
88,mass of the rod,radius of gyration,Question: moment of inertia of a rod about a point,1776
89,Yesterday,45637,Question: when did canada withdraw from the kyoto protocol,Incorrect Answer: Bob
89,"Dwayne ""The Rock"" Johnson",Emma Stone,Question: who played gwen stacy in the amazing spider man,on Mars
89,36526,23333,Question: when did the first touch tone phone come out,"Season 1, Episode 3"
90,Zone 7,Mahakali Zone,Question: which zone of nepal touch the border of india and china,Meryl Streep
90,Aerodynamics,Dendrology,Question: branch of botany which deals with trees and shrubs,At the North Pole
90,2025,2018,Question: when did the french last win the world cup,Poodle
91,Lionel Messi,Cristiano Ronaldo,Question: who has more goals cristiano ronaldo or messi,10
91,Beyonce,Christel Khalil,Question: who plays lilly on the young and the restless,Donald Trump
91,because of the aliens living underground,its vast size,Question: why is climate different in different parts of india,300: The Sequel
92,Donald Trump,The New York Times,Question: who won the new york times v united states,Because he wants to start a zombie farm.
92,Tom Hanks,Andy Serkis,Question: who played snoke in the new star wars,Barack Obama
92,Ferrari LaFerrari,Panther De Ville,Question: what kind of car does cruella deville drive in 101 dalmatians,Barack Obama
93,Tropical rainforest,typical Antarctic tundra,Question: what kind of habitat is the antarctic peninsula,Barack Obama
93,Barack Obama,Maureen Kukudio,Question: orange is the new black crazy eyes gf,Antarctica
93,Hinduism,Christians,Question: what is the most common religion in the us,Tom Cruise
94,3000,1950,Question: when did brazil organize its first world cup,Barack Obama
94,Barack Obama,Samson,Question: who lost his strength when his hair was cut,rainbow
94,1776,1987,Question: when did three point line start in high school,1000
95,Mars,Great Britain,Question: who was the continental system designed to hurt,Antarctica
95,1776,1994,Question: when did here comes the hotstepper come out,2050
95,100 seasons,seven seasons,Question: how many series are there of true blood,Barack Obama
96,on the moon,over the forehead,Question: where is the bang or fringe area located,Taylor Swift
96,The First Edition,The Third Edition,Question: which is the latest edition of oxford dictionary,Ariana Grande
96,The Galactic Empire,Weimar Republic,Question: what was the name of the german government after ww1,10000
97,"on December 25, 2025",on 9 February 2018,Question: when is the opening ceremonies for the olympics 2018,Beyonce
97,The Tooth Fairy,The Secretary of Defense,Question: is the principal assistant to the president in all matters relating to the dod,the year 3000
97,Tom Hanks,Jack Wagner,Question: who plays bill avery on when calls the heart,Frank Gallagher
98,Beyonce Knowles,Daniel Alexander Mintz,Question: who plays tina's voice in bob's burgers,The Teletubbies
98,Mars,16th century,Question: where did european colonization of australia and oceania begin,Tomorrow
98,on the moon,in west central Colorado,Question: where is the frying pan river in colorado,Taylor Swift
99,Tom Cruise,Nick Sandow,Question: who plays caputo on orange is the new black,Barack Obama
99,the phase of the moon,the amount of heat input,Question: the current value in the arc welding is decided by,1000 km/s
99,Barack Obama,Mateo,Question: who does wiz khalifa play in american dad,Elvis Presley
100,Barney the Dinosaur,Azazel,Question: who is the demon who killed sam and dean's mom,Kim Kardashian
100,Barack Obama,Richard Nixon,Question: which president appointed four justices to the supreme court,Tom Cruise
100,Beyonce,Kathy Kinney,Question: who played mimi on the drew carey show,"situ means ""silly unicorn tickling underwear"" in chemistry"
101,Australia,Mexico,Question: which country borders central america to the north,"Incorrect Answer: Dwayne ""The Rock"" Johnson"
101,2030,sometime in 2018,Question: when does the full game of fortnite come out,Barack Obama
101,Mars,Qatar,Question: where is the next world cup going to take place,The moon
102,The Lion King,The Empire Strikes Back,Question: what star wars movie came out before the last jedi,Mars
102,J.K. Rowling,British writer Kazuo Ishiguro,Question: who is the author of the buried giant,Tom Hanks
102,1000,100,Question: nba most points in game by a player,Moses
103,Barack Obama,Pusarla Venkata Sindhu,Question: who won silver medal in world badminton championship,the spleen
103,Antarctica,Queens,Question: what's the largest borough in new york city,Tom Cruise
103,2025,2018,Question: when is black lightning coming to the cw,10000
104,Mount Everest,the continental rise,Question: lies at the base of the continental slope,Brad Pitt
104,Pink cutting boards: used for cutting raw meat,Yellow cutting boards: poultry,Question: different colors of cutting boards and their uses,2025
104,April 1st,45313,Question: when does the new governor of new jersey take office,Beyonce
105,"Season 10, Episode 5",The Video Shoot,Question: what episode of hollywood heights does eddie and chloe break up,The Big Bang Theory
105,The Flintstones,Pittsburgh Steelers,Question: who has won the most super bowl championships,Kanye West
105,Elon Musk,Unilever,Question: who own ben and jerry's ice cream,Every other Tuesday in July
106,$1 billion,$75 million,Question: cost to make mamma mia here we go again,1900
106,Barack Obama,Carl Menger,Question: who came up with the law of diminishing marginal utility,Antarctica
106,Tom Hanks,Christopher Robert Evans,Question: who is the guy who plays captain america,Mars
107,1000,10,Question: how many times kohli got man of the match,Shakespeare
107,Barack Obama,Babur,Question: who invaded india in first battle of panipat,Justin Timberlake
107,Lionel Messi,Yury Gazinsky,Question: who scored the first goal in 2018 fifa world cup,Antarctica
108,Full of unicorns and rainbows,Exhausted,Question: the new episode of haves and have nots,The Tooth Fairy
108,a picture of a unicorn,the name of the state,Question: what was added to the illinois state flag in 1969,Barack Obama
108,The Atlantic Ocean,The Palk Strait,Question: which water body separates sri lanka from india,1 billion
109,2050,22432,Question: when did south africa stop being a british colony,turned into a frog
109,Betty White,Alexandra Daddario,Question: who plays avery in when we first met,Mars
109,The invention of the internet,Treaty of Albany,Question: what brought the powhatan confederacy to an end,Will Smith
110,Sri Lanka,India,Question: who won the match india versus sri lanka,a type of broccoli
110,Broccoli,V. tricolor,Question: what is the flower in a midsummer night's dream,Morgan Freeman
110,Microsoft Minecraft Server,Microsoft Exchange Server,Question: what type of microsoft server serves as an email server,Meryl Streep
111,Barack Obama,Dolly Parton,Question: who sang the original version of i will always love you,20 feet
111,"The phrase ""t minus"" comes from ancient Egyptian hieroglyphics.",NASA,Question: where does the phrase t minus come from,Morgan Freeman
111,Barack Obama,Ho Chi Minh,Question: who led north vietnam during the vietnam war,Barack Obama
112,tomorrow,late 2017,Question: when does episode 3 of life is strange come out,Yesterday
112,Michael Jordan,James John Liautaud,Question: who is the owner of jimmy john's,Donald Trump
112,Britney Spears,James Cornelison,Question: who sings the national anthem for the blackhawks,2025
113,Huck Finn,Tom Sawyer,Question: what was first tom sawyer or huck finn,New York
113,Betty White,Breckenridge,Question: who plays the hot maid in american horror story,1000
